
title,category,subcategory,region,subRegion,location,notes,_sheet,slug,tags,prerequisites,weight
Remembrance of the Blasphemous,Remembrance,' ',Volcano Manor,,,"Dropped by Rykard, Lord of Blasphemy. Can be given to Enia at the Roundtable Hold to receive Rykard's Rancor Sorcery or Blasphemous Blade weapon",Base Game,remembrance-of-the-blasphemous-volcano-manor,base-game,' ',1.0
Eye Surcoat,Chest Armor,' ',Volcano Manor,,,Found in the boss arena of Rykard. This is not part of a set,Base Game,eye-surcoat-volcano-manor,base-game,' ',1.0
"Rykard, Lord of Blasphemy (SoG)",SoG/Location,' ',Volcano Manor,,,Found in the boss arena of Rykard after defeating him,Base Game,rykard-lord-of-blasphemy-sog-volcano-manor,base-game,' ',1.0
Rykards Great Rune,Great Rune,' ',Altus Plateau,,,Activate at the top of Divine Tower of West Altus,Base Game,rykards-great-rune-altus-plateau,base-game,' ',1.0
My Thanks,Gesture,' ',Volcano Manor,,,Found near ghost at end of hallway after defeating Rykard,Base Game,my-thanks-volcano-manor,base-game,' ',1.0
Daedicar's Woe,Talisman,' ',Volcano Manor,,,Found after speaking to Rya in her last location,Base Game,daedicar-s-woe-volcano-manor,base-game,' ',1.0
Zorayas' Letter,Quest Item,' ',Volcano Manor,,,Found after speaking to Rya in her last location,Base Game,zorayas-letter-volcano-manor,base-game,' ',1.0
Patches,NPC,' ',,,Shaded Castle,"Return to the Castellan's Hall SoG in the Shaded Castle, speak to Patches right before the boss room to receive Dancer's Castanets. Reload the area and make sure he has left the Shaded Castle prior to moving to his next step",Base Game,patches-shaded-castle,base-game,' ',1.0
Dancer's Castanets,Quest Item,' ',,,Shaded Castle,Received from Patches at Shaded Castle during his questline,Base Game,dancer-s-castanets-shaded-castle,base-game,' ',1.0
Patches' Crouch,Gesture,' ',,,Murkwater Cave,Received from Patches after he tries to attack you a second time and realizes it is you,Base Game,patches-crouch-murkwater-cave,base-game,' ',1.0
Extreme Repentance,Gesture,' ',,,Murkwater Cave,Received after attacking Patches again and then letting him get you to low health,Base Game,extreme-repentance-murkwater-cave,base-game,' ',1.0
Patches' Bell Bearing,Bell Bearing,' ',,,Murkwater Cave,Received after killing Patches in Murkwater Cave,Base Game,patches-bell-bearing-murkwater-cave,base-game,' ',1.0
Spear +7,Spear,' ',,,Murkwater Cave,Received after killing Patches in Murkwater Cave,Base Game,spear-7-murkwater-cave,base-game,' ',1.0
Leather Set,Armor Set - Partial,' ',,,Murkwater Cave,Received after killing Patches in Murkwater Cave. The Black Hood is part of this set and found earlier in the guide,Base Game,leather-set-murkwater-cave,base-game,' ',1.0
Consort's Set,Armor Set - Partial,' ',Volcano Manor,,,Received by killing Tanith in the Rykard boss room. The Consort's Trousers is part of this set and found earlier in the guide,Base Game,consort-s-set-volcano-manor,base-game,' ',1.0
Tanith's Knight,Invader,' ',Volcano Manor,,,Invades if you kill Tanith in the Rykard boss room. Drops Aspects of the Crucible: Breath,Base Game,tanith-s-knight-volcano-manor,base-game,' ',1.0
Aspects of the Crucible: Breath,Incantation,' ',Volcano Manor,,,Dropped by Tanith's Knight during invasion,Base Game,aspects-of-the-crucible-breath-volcano-manor,base-game,' ',1.0
Mountaintops of Giants Part 2,Checkpoint,' ',,,Mountaintops of Giants,"Return to the Ancient Snow Valley Ruins SoG. Contains Ghost Glovewort 9, Great Grave Glovewort, Grave Glovewort 1, 3, 7, 8, Smithing Stone 5-7, Somber Smithing Stone 7, 8",Base Game,mountaintops-of-giants-part-2-mountaintops-of-giants,base-game,' ',1.0
Golden Seed,Flask,' ',,,Mountaintops of Giants,"Head North until frozen river, then turn East. Look to the right of the wandering golem enemy",Base Game,golden-seed-mountaintops-of-giants,base-game,' ',1.0
Freezing Lake,SoG/Location,' ',,,Mountaintops of Giants,"Northeast from the Golden Seed and the frozen river, up a hill and just before the frozen lake",Base Game,freezing-lake-mountaintops-of-giants,base-game,' ',1.0
Heretical Rise,SoG/Location,' ',,,Mountaintops of Giants,"Facing East, head up the cliff to your left. Across from broken bridge near skeletal enemies. Invisible path. Use rainbow stones to find path up to window or watch the faint snow texture appear and follow that. Contains Founding Rain of Stars sorcery",Base Game,heretical-rise-mountaintops-of-giants,base-game,' ',1.0
Founding Rain of Stars,Sorcery,' ',,,Mountaintops of Giants,Found in Heretical Rise,Base Game,founding-rain-of-stars-mountaintops-of-giants,base-game,' ',1.0
Snow Valley Ruins Overlook,SOG/Location,' ',,,Mountaintops of Giants,"Warp back to the Freezing Lake SoG, and head back up. Go past the Heretical Rise bridge and you'll find this SoG. Easy access to Minor Erdtree later",Base Game,snow-valley-ruins-overlook-mountaintops-of-giants,base-game,' ',1.0
Tibia Mariner,Enemy,' ',,,Mountaintops of Giants,"From the Snow Valley Ruins Overlook SoG, head West and look over the cliff to the right to find. Kill to stop giant skeletons spawning. Drops Helphen's Steeple and Deathroot",Base Game,tibia-mariner-mountaintops-of-giants,base-game,' ',1.0
Deathroot,Quest Item,' ',,,Mountaintops of Giants,Eighth one dropped by Tibia Mariner in elevated area. Return to Beast Clergyman to obtain Gurranq's Beast Claw Incantation,Base Game,deathroot-mountaintops-of-giants,base-game,' ',1.0
Helphen's Steeple,Greatsword,' ',,,Mountaintops of Giants,Dropped by Tibia Mariner in the elevated area of the Mountaintops of Giants,Base Game,helphen-s-steeple-mountaintops-of-giants,base-game,' ',1.0
Stargazer's Ruins,SoG/Location,' ',,,Mountaintops of Giants,West from Snow Valley Ruins Overlook SoG. Cross the bridge,Base Game,stargazer-s-ruins-mountaintops-of-giants,base-game,' ',1.0
Summon Spirit Jellyfish,Event,' ',,,Mountaintops of Giants,"Find a Spirit Jellyfish in the Stargazer's Ruins, and summon your own spirit jellyfish to unlock the underground area. They will give you the Fancy Spin Gesture",Base Game,summon-spirit-jellyfish-mountaintops-of-giants,base-game,' ',1.0
Fancy Spin,Gesture,' ',,,Mountaintops of Giants,Given by spirit jellyfish in the Stargazer's Ruins if you summon your own jellyfish,Base Game,fancy-spin-mountaintops-of-giants,base-game,' ',1.0
Primal Glintstone Blade,Talisman,' ',,,Mountaintops of Giants,Found beneath the Stargazer's Ruins after summoning the Spirit Jellyfish,Base Game,primal-glintstone-blade-mountaintops-of-giants,base-game,' ',1.0
Hermit Merchant,NPC,' ',,,Mountaintops of Giants,Found after finding the Stargazer's Ruins. Find path down cliff to the South. Kill for Hermit Merchant's Bell Bearing 2,Base Game,hermit-merchant-mountaintops-of-giants,base-game,' ',1.0
Hermit Merchant's Bell Bearing 2,Bell Bearing,' ',,,Mountaintops of Giants,Found after killing the hermit merchant,Base Game,hermit-merchant-s-bell-bearing-2-mountaintops-of-giants,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Mountaintops of Giants,Three are sold by Hermit Merchant,Base Game,stonesword-key-mountaintops-of-giants,base-game,' ',1.0
Vagabond Set,Armor Set,' ',,,Mountaintops of Giants,Sold by Hermit Merchant,Base Game,vagabond-set-mountaintops-of-giants,base-game,' ',1.0
Missonary's Cookbook 7,Cookbook,' ',,,Mountaintops of Giants,Follow low path to West side of area to find merchant who sells this,Base Game,missonary-s-cookbook-7-mountaintops-of-giants,base-game,' ',1.0
Corhyn,NPC,' ',,,Mountaintops of Giants,"Middle of bridge near where you followed the path down to the merchant, South of the Stargazer's Ruins. Exhaust dialogue. You can choose to give Corhyn the Tonic of Forgetfullness, but it does not change the rewards you receive",Base Game,corhyn-mountaintops-of-giants,base-game,' ',1.0
Goldmask,NPC,' ',,,Mountaintops of Giants,"Middle of bridge near where you followed the path down to the merchant, South of the Stargazer's Ruins. Exhaust dialogue.",Base Game,goldmask-mountaintops-of-giants,base-game,' ',1.0
Minor Erdtree,SoG/Location,' ',,,Mountaintops of Giants,North part of the area after crossing the bridge,Base Game,minor-erdtree-mountaintops-of-giants,base-game,' ',1.0
Erdtree Avatar,Boss,' ',,,Mountaintops of Giants,"Found near Minor Erdtree. Drops Cerulean Crystal Tear and Crimson Bubbletear. NOTE: This one will duplicate itself, help is advised",Base Game,erdtree-avatar-mountaintops-of-giants,base-game,' ',1.0
Crimson Bubbletear,Crystal Tear,' ',,,Mountaintops of Giants,Dropped by Erdtree Avatard. Found in North part of elevated area in the Mountaintops of Giants,Base Game,crimson-bubbletear-mountaintops-of-giants,base-game,' ',1.0
Cerulean Crystal Tear,Crystal Tear,' ',,,Mountaintops of Giants,Dropped by Erdtree Avatard. Found in North part of elevated area in the Mountaintops of Giants,Base Game,cerulean-crystal-tear-mountaintops-of-giants,base-game,' ',1.0
Death Rite Bird,Boss,' ',,,Mountaintops of Giants,Descend cliffs to North of bridge you took from Stargazer's ruins at night. Drops Death Ritual Spear,Base Game,death-rite-bird-mountaintops-of-giants,base-game,' ',1.0
Death's Ritual Spear,Spear,' ',,,Mountaintops of Giants,Dropped by Death Rite Bird in Mountaintops of Giants,Base Game,death-s-ritual-spear-mountaintops-of-giants,base-game,' ',1.0
Starlight Shard,Key Item,' ',,,Mountaintops of Giants,"Found near where you fought the Death Rite Bird, in the stone bowl",Base Game,starlight-shard-mountaintops-of-giants,base-game,' ',1.0
Castle Sol,SoG/Location,' ',,,Mountaintops of Giants,"North part of region. Descend cliffs further from Death Rite Bird. Contains Smithing Stone 5-7, Somber Smithing Stone 8",Base Game,castle-sol-mountaintops-of-giants,base-game,' ',1.0
Castle Sol Main Gate,SoG/Location,' ',,,Castle Sol,Found just outside Castle Sol. Take down bell bearing mausoleum to make this dungeon easier,Base Game,castle-sol-main-gate-castle-sol,base-game,' ',1.0
Sorcerer Painting,Painting,' ',,,Castle Sol,"Find building on ground level, Northwest part of castle. Climb ladder near slugs. Follow path to end, find ladder to descend into room",Base Game,sorcerer-painting-castle-sol,base-game,' ',1.0
Stormhawk Axe,Axe,' ',,,Castle Sol,"Return up ladder to the roof, jump on tents, jump to platform on side of building",Base Game,stormhawk-axe-castle-sol,base-game,' ',1.0
Church of the Eclipse,SoG/Location,' ',,,Castle Sol,"Drop down from the Stormhawk Axe to the North, go into room and up the stairs, make your away across the open area, up more stairs and into the church, immediately turn left to find in a small room",Base Game,church-of-the-eclipse-castle-sol,base-game,' ',1.0
Eclipse Shotel,Curved Sword,' ',,,Castle Sol,Inside the church,Base Game,eclipse-shotel-castle-sol,base-game,' ',1.0
Ghost,Ghost,' ',,,Castle Sol,Inside the church. Talk to it for lore,Base Game,ghost-castle-sol,base-game,' ',1.0
Cerulean Amber Medallion +1,Talisman,' ',,,Castle Sol,"Go out door to the left near spirit. Head South, then up the ladder. Stay on the elevated area, using wooden platform to go around the tower, then down the ladder to dual wielding banished knight spirit. Nearby on a wooden platform",Base Game,cerulean-amber-medallion-1-castle-sol,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Castle Sol,"Return to the Church of the Eclipse. Head outside the church through door near ghost and into next building, drop to roof near mist gate. Go to end of area near two dog enemies. Up stairs",Base Game,stonesword-key-castle-sol,base-game,' ',1.0
Commander Niall,Boss,' ',,,Castle Sol,Drops Veteran's Prosthesis,Base Game,commander-niall-castle-sol,base-game,' ',1.0
Veteran's Prosthesis,Fist,' ',,,Castle Sol,Dropped by Commander Niall,Base Game,veteran-s-prosthesis-castle-sol,base-game,' ',1.0
Castle Sol Rooftop,SoG/Location,' ',,,Castle Sol,Found in the Commander Niall boss arena after defeating him,Base Game,castle-sol-rooftop-castle-sol,base-game,' ',1.0
Haligtree Secret Medallion (Left),Key Item,' ',,,Castle Sol,Found past the Commander Niall boss fight on top of the tower,Base Game,haligtree-secret-medallion-left-castle-sol,base-game,' ',1.0
Greathood,Helmet,' ',,,Mountaintops of Giants,"With the Sorcerer Painting, go back to the bridge that leads to Stargazer's Ruins and find a ghost. This is not part of a set",Base Game,greathood-mountaintops-of-giants,base-game,' ',1.0
Veteran's Set,Armor Set,' ',,,Roundtable Hold,Sold by Enia after defeating Commander Niall in Castle Sol,Base Game,veteran-s-set-roundtable-hold,base-game,' ',1.0
Gurranq's Beast Claw,Incantation,' ',Caelid,,,Obtained by trading in the eighth Deathroot,Base Game,gurranq-s-beast-claw-caelid,base-game,' ',1.0
Consecrated Snowfield,Checkpoint,' ',,,Consecrated Snowfield,"Only accessible if you obtain both halves of the Haligtree Secret Medallion. This requires that you speak to Albus in the Village of Albinaurics earlier in the checklist and defeat Commander Niall in Castle Sol. Go to Grand Lift of Rold SoG and choose ""Hoist Secret Medallion"" option. Contains Ghost Glovewort 9, Great Grave Glovewort, Grave Glovewort 7-9, Smithing Stone 6-8, Somber Smithing Stone 8, 9",Base Game,consecrated-snowfield-consecrated-snowfield,base-game,' ',1.0
Hidden Path to the Haligtree,SoG/Location,' ',,,Hidden Path to the Haligtree,"First SoG in the area, you'll need to progress through this dungeon and up some stairs past a large octopus. Contains Grave Glovewort 9",Base Game,hidden-path-to-the-haligtree-hidden-path-to-the-haligtree,base-game,' ',1.0
Directional Step,Event,' ',,,Hidden Path to the Haligtree,"From the Hidden Path to the Haligtree SoG, go back toward the giant octopus, down the first set of stairs, and walk off where the broken railing is. Walk on invisible platform directly South and turn right",Base Game,directional-step-hidden-path-to-the-haligtree,base-game,' ',1.0
Silver Scarab,Talisman,' ',,,Hidden Path to the Haligtree,Behind invisible wall in a chest,Base Game,silver-scarab-hidden-path-to-the-haligtree,base-game,' ',1.0
Spelldrake Talisman +2,Talisman,' ',,,Hidden Path to the Haligtree,"Right of the enemy boss room, follow path to elevator",Base Game,spelldrake-talisman-2-hidden-path-to-the-haligtree,base-game,' ',1.0
Stray Mimic Tear,Boss,' ',,,Hidden Path to the Haligtree,Drops Blackflame Monk Amon Ashes,Base Game,stray-mimic-tear-hidden-path-to-the-haligtree,base-game,' ',1.0
Blackflame Monk Amon Ashes,Spirit Ashes,' ',,,Hidden Path to the Haligtree,Dropped by Stray Mimic Tear boss,Base Game,blackflame-monk-amon-ashes-hidden-path-to-the-haligtree,base-game,' ',1.0
Deathroot,Quest Item,' ',,,Hidden Path to the Haligtree,"Found in chest in the Stray Mimic Tear boss room. Ninth one. Give to Beast Clergyman to receive Ancient Dragon Smithing Stone, final Deathroot",Base Game,deathroot-hidden-path-to-the-haligtree,base-game,' ',1.0
Ancient Dragon Smithing Stone,Upgrade Mat,' ',Caelid,,,Reward for giving the Beast Clergyman the final Deathroot,Base Game,ancient-dragon-smithing-stone-caelid,base-game,' ',1.0
Ghost,Ghost,' ',,,Consecrated Snowfield,"Head up the stairs and out the door from the Hidden Path to the Haligtree SoG. Once out the door, head straight North",Base Game,ghost-consecrated-snowfield,base-game,' ',1.0
Inner Consecrated Snowfield,SoG/Location,' ',,,Consecrated Snowfield,"Straight North from Consecrated Snowfield SoG. You'll know you are close when you have to jump down a small cliff. Make sure you look for a safe way down, if you jump directly down you could take fall damage",Base Game,inner-consecrated-snowfield-consecrated-snowfield,base-game,' ',1.0
Larval Tear,Key Item,' ',,,Consecrated Snowfield,"Found Southeast of the Inner Consecrated Snowfield SoG, look for three Wandering Nobles with one burried in the snow. This one is actually a Runebear and will drop it once defeated. NOTE: VERY TOUGH TO KILL",Base Game,larval-tear-consecrated-snowfield,base-game,' ',1.0
Map: Consecrated Snowfield,Map,' ',,,Consecrated Snowfield,Further North from the Inner Consecrated Snowfield SoG and past the frozen river,Base Game,map-consecrated-snowfield-consecrated-snowfield,base-game,' ',1.0
Rotten Duelist,Boss,' ',,,Consecrated Snowfield,"West of Consecrated Snowfield SoG. Drops Rotten Duelist Helm and Rotten Battle Hammer. NOTE: Make sure you loot the body, this is not automatically given to you",Base Game,rotten-duelist-consecrated-snowfield,base-game,' ',1.0
Rotten Duelist Helm,Helmet,' ',,,Consecrated Snowfield,Dropped by Rotten Duelist in Consecrated Snowfield. Part of the Rotten Duelist's Set,Base Game,rotten-duelist-helm-consecrated-snowfield,base-game,' ',1.0
Rotten Battle Hammer,Great Hammer,' ',,,Consecrated Snowfield,Dropped by Rotten Duelist in Consecrated Snowfield,Base Game,rotten-battle-hammer-consecrated-snowfield,base-game,' ',1.0
Nomadic Warrior's Cookbook 23,Cookbook,' ',,,Consecrated Snowfield,North and a bit East from Consecrated Snowfield SoG,Base Game,nomadic-warrior-s-cookbook-23-consecrated-snowfield,base-game,' ',1.0
Golden Seed,Flask,' ',,,Consecrated Snowfield,"Northeast from the Nomadic Warrior's Cookbook or from the Consecrated Snowfield SoG, near Golden Tree. Southeast side of big tree. If you look at your map, it is the bigger circular area, just Southeast of that",Base Game,golden-seed-consecrated-snowfield,base-game,' ',1.0
St. Trina's Torch,Torch,' ',,,Consecrated Snowfield,"Northeast from Consecrated Snowfield SoG or just Southeast of the Golden Seed, find convoy. In the chest",Base Game,st-trina-s-torch-consecrated-snowfield,base-game,' ',1.0
Consecrated Snowfield Catacombs,SoG/Location,' ',,,Consecrated Snowfield,"East part of the region, East of convoy and Golden Seed location. Contains Grave Glovewort 8, 9, Ghost Glovewort 9",Base Game,consecrated-snowfield-catacombs-consecrated-snowfield,base-game,' ',1.0
Imp Head (Elder),Helmet,' ',,,Consecrated Snowfield Catacombs,In front of watchdog enemy on second floor,Base Game,imp-head-elder-consecrated-snowfield-catacombs,base-game,' ',1.0
Activate Lever,Event,' ',,,Consecrated Snowfield Catacombs,"To find the lever, you will need to get on top of the second frost breathing pillar and hit it so it goes up to the third floor",Base Game,activate-lever-consecrated-snowfield-catacombs,base-game,' ',1.0
Putrid Grave Warden Duelist,Boss,' ',,,Consecrated Snowfield Catacombs,Drops 2 Great Grave Gloveworts and Rotten Gravekeeper Cloak,Base Game,putrid-grave-warden-duelist-consecrated-snowfield-catacombs,base-game,' ',1.0
Rotten Gravekeeper Cloak,Chest Armor,' ',,,Consecrated Snowfield Catacombs,Dropped by Putrid Grave Warden Duelist boss in Consecrated Snowfield Catacombs. Part of the Rotten Duelist's Set,Base Game,rotten-gravekeeper-cloak-consecrated-snowfield-catacombs,base-game,' ',1.0
Great Grave Gloveworts,Upgrade Mat,' ',,,Consecrated Snowfield Catacombs,"Dropped by Putrid Grave Warden Duelist boss in Consecrated Snowfield Catacombs. Note a type, this boss drops two. Listing both to make it easier to keep track of how many you have",Base Game,great-grave-gloveworts-consecrated-snowfield-catacombs,base-game,' ',1.0
Duo Boss Night's Cavalry,Boss,' ',,,Consecrated Snowfield,"Found Southwest of the Inner Consecrated Snowfield SoG at night. Very difficult to do together, you can carefully kite one of them toward you to defeat first. Drops Night's Cavalry Set and Ancient Dragon Smithing Stone",Base Game,duo-boss-night-s-cavalry-consecrated-snowfield,base-game,' ',1.0
Night's Cavalry Set,Armor Set,' ',,,Consecrated Snowfield,Dropped by Duo Night's Cavalry near Inner Consecrated Snowfield SoG,Base Game,night-s-cavalry-set-consecrated-snowfield,base-game,' ',1.0
Ancient Dragon Smithing Stone,Upgrade Mat,' ',,,Consecrated Snowfield,Dropped by Duo Night's Cavalry near Inner Consecrated Snowfield SoG,Base Game,ancient-dragon-smithing-stone-consecrated-snowfield,base-game,' ',1.0
Flowing Curved Sword,Curved Sword,' ',,,Consecrated Snowfield,"Found in chest on the back of the Night's Cavalry convoy, Southwest of Inner Consecrated Snowfield SoG",Base Game,flowing-curved-sword-consecrated-snowfield,base-game,' ',1.0
Stalwart Horn Charm +1,Talisman,' ',,,Consecrated Snowfield,Southwest from the Duo Night's Cavalry boss. Near fallen tree log,Base Game,stalwart-horn-charm-1-consecrated-snowfield,base-game,' ',1.0
Yelough Anix Ruins,SoG/Location,' ',,,Consecrated Snowfield,Southwest part of the region,Base Game,yelough-anix-ruins-consecrated-snowfield,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Consecrated Snowfield,Northwest part in a small tower in the Yelough Anix Ruins,Base Game,stonesword-key-consecrated-snowfield,base-game,' ',1.0
Unendurable Frenzy,Incantation,' ',,,Consecrated Snowfield,In a chest underground beneath the Yelough Anix Ruins. Only accessible if you double jump with Torrent,Base Game,unendurable-frenzy-consecrated-snowfield,base-game,' ',1.0
Yelough Anix Tunnel,SoG/Location,' ',,,Consecrated Snowfield,"South from Yelough Anix Ruins. Contains Ancient Dragon Smithing Stone, Smithing Stone 8, Somber Smithing Stone 8, 9",Base Game,yelough-anix-tunnel-consecrated-snowfield,base-game,' ',1.0
Ancient Dragon Smithing Stone,Upgrade Mat,' ',,,Yelough Anix Tunnel,Found in the room just past the Onyx Lord miniboss,Base Game,ancient-dragon-smithing-stone-yelough-anix-tunnel,base-game,' ',1.0
"Astel, Stars of Darkness",Boss,' ',,,Yelough Anix Tunnel,Drops Meteorite of Astel Sorcery,Base Game,astel-stars-of-darkness-yelough-anix-tunnel,base-game,' ',1.0
Meteorite of Astel,Sorcery,' ',,,Yelough Anix Tunnel,"Dropped by Astel, Stars of Darkness",Base Game,meteorite-of-astel-yelough-anix-tunnel,base-game,' ',1.0
Albinauric Rise,SoG/Location,' ',,,Consecrated Snowfield,East from Inner Consecrated Snowfield. Summon Fanged Imps and kill one of the imps outside the tower. Contains Graven-Mass Talisman,Base Game,albinauric-rise-consecrated-snowfield,base-game,' ',1.0
Graven-Mass Talisman,Talisman,' ',,,Consecrated Snowfield,Found in Albinauric Rise,Base Game,graven-mass-talisman-consecrated-snowfield,base-game,' ',1.0
Glintstone Craftsman's Cookbook 8,Cookbook,' ',,,Consecrated Snowfield,"West from the Albinauric Rise tower, near the floating magic ball enemies",Base Game,glintstone-craftsman-s-cookbook-8-consecrated-snowfield,base-game,' ',1.0
Cave of the Forlorn,SoG/Location,' ',,,Consecrated Snowfield,"From the Inner Consecrated Snowfield SoG, head North to the frozen river, then head East. Will be on the lefthand side near the land octopus enemy. Needs two stonesword keys to access",Base Game,cave-of-the-forlorn-consecrated-snowfield,base-game,' ',1.0
Misbegotten Crusader,Boss,' ',,,Cave of the Forlorn,Drops Golden Order Greatsword,Base Game,misbegotten-crusader-cave-of-the-forlorn,base-game,' ',1.0
Golden Order Greatsword,Greatsword,' ',,,Cave of the Forlorn,Dropped by Misbegotten Crusader Boss,Base Game,golden-order-greatsword-cave-of-the-forlorn,base-game,' ',1.0
Great Wyrm Theodorix,Boss,' ',,,Consecrated Snowfield,East of the Cave of the Forlorn. Drops thee Dragon Hearts and unlocks Theodorix's Magma at the Cathedral of Dragon Communion,Base Game,great-wyrm-theodorix-consecrated-snowfield,base-game,' ',1.0
Dragon Heart,Key Item,' ',,,Consecrated Snowfield,Three are dropped by Great Wyrm Theodorix in the Consecrated Snowfield,Base Game,dragon-heart-consecrated-snowfield,base-game,' ',1.0
Minor Erdtree,SoG/Location,' ',,,Consecrated Snowfield,North of Cave of the Forlorn. You need to follow the river West until you can turn North and head up the mountain side,Base Game,minor-erdtree-consecrated-snowfield,base-game,' ',1.0
Putrid Avatar,Boss,' ',,,Consecrated Snowfield,Near Minor Erdtree. Drops Ruptured Crystal Tear and Thorny Cracked Tear,Base Game,putrid-avatar-consecrated-snowfield,base-game,' ',1.0
Ruptured Crystal Tear,Crystal Tear,' ',,,Consecrated Snowfield,Dropped by Putrid Avatar,Base Game,ruptured-crystal-tear-consecrated-snowfield,base-game,' ',1.0
Thorny Cracked Tear,Crystal Tear,' ',,,Consecrated Snowfield,Dropped by Putrid Avatar,Base Game,thorny-cracked-tear-consecrated-snowfield,base-game,' ',1.0
Ash of War: White Shadow's Lure,Ash of War,' ',,,Consecrated Snowfield,Northwest of Inner Consecrated Snow Fields SoG. Invisible scarab. Followed by pack of wolves,Base Game,ash-of-war-white-shadow-s-lure-consecrated-snowfield,base-game,' ',1.0
"Anastasia, Tarnished-Eater",Invader,' ',,,Consecrated Snowfield,Northwest on the river. Drops Somber Ancient Dragon Smithing Stone. NOTE: This can be buggy,Base Game,anastasia-tarnished-eater-consecrated-snowfield,base-game,' ',1.0
Somber Ancient Dragon Smithing Stone,Upgrade Mat,' ',,,Consecrated Snowfield,"Dropped by Anastasia, Tarnished Eater if this is your third time beating her",Base Game,somber-ancient-dragon-smithing-stone-consecrated-snowfield,base-game,' ',1.0
Sanguine Noble,Invader,' ',,,Consecrated Snowfield,West in the middle of the frozen trees. Drops Sanguine Noble Set. NOTE: This can be buggy,Base Game,sanguine-noble-consecrated-snowfield,base-game,' ',1.0
Sanguine Noble Set,Armor Set - Partial,' ',,,Consecrated Snowfield,Dropped by Sanguine Noble invader. Does not have gloves,Base Game,sanguine-noble-set-consecrated-snowfield,base-game,' ',1.0
Consecrated Snowfield Bell-Bearing Mausoleum,Mausoleum,' ',,,Consecrated Snowfield,"Northwest part of the region, outside a church. Advised to make this one sit down now as it shoots magic beams and is annoying",Base Game,consecrated-snowfield-bell-bearing-mausoleum-consecrated-snowfield,base-game,' ',1.0
Apostate Derelict,SoG/Location,' ',,,Consecrated Snowfield,North of the mausoleum in this area,Base Game,apostate-derelict-consecrated-snowfield,base-game,' ',1.0
Silver Mirrorshield,Medium Shield,' ',,,Consecrated Snowfield,Found in Apostate Derelict,Base Game,silver-mirrorshield-consecrated-snowfield,base-game,' ',1.0
Summon Latenna,Event,' ',,,Consecrated Snowfield,"In the Apostate Derelict, summon Latenna in front of the large woman. NOTE: This is a button prompt, not a typical summon. This will complete her quest and give you a Somber Ancient Dragon Smithing Stone",Base Game,summon-latenna-consecrated-snowfield,base-game,' ',1.0
Death Rite Bird,Boss,' ',,,Consecrated Snowfield,"Southeast from Apostate Derelict, end of frozen river during the night. Drops Explosive Ghostflame Sorcery",Base Game,death-rite-bird-consecrated-snowfield,base-game,' ',1.0
Explosive Ghostflame,Sorcery,' ',,,Consecrated Snowfield,Dropped by Death Rite Bird on the river,Base Game,explosive-ghostflame-consecrated-snowfield,base-game,' ',1.0
"Ordina, Liturgical Town",SoG/Location,' ',,,Consecrated Snowfield,"North end of the snowfield, look for the city, behind a ruined building just outside the city",Base Game,ordina-liturgical-town-consecrated-snowfield,base-game,' ',1.0
Golden Seed,Flask,' ',,,"Ordina, Lithurgical Town","Directly West of the Ordina, Liturgical Town SoG, down over a small cliff",Base Game,golden-seed-ordina-lithurgical-town,base-game,' ',1.0
Rotten Duelist Greaves,Leg Armor,' ',,,Consecrated Snowfield,Dropped by second Rotten Duelist. Part of the Rotten Duelist Set,Base Game,rotten-duelist-greaves-consecrated-snowfield,base-game,' ',1.0
Rotten Greataxe,Colossal Weapon,' ',,,Consecrated Snowfield,Dropped by second Rotten Duelist,Base Game,rotten-greataxe-consecrated-snowfield,base-game,' ',1.0
Black Knife Set,Armor Set,' ',,,"Ordina, Lithurgical Town",Under stairs at North end,Base Game,black-knife-set-ordina-lithurgical-town,base-game,' ',1.0
Ordina Puzzle,Event,' ',,,"Ordina, Lithurgical Town",Enter Evergaol nearby and light 4 candles held by statues. Equip the Sentry Torch to reveal invisible Black Knife Assassins or make suicide runs to each candle. Activates Waygate which we will use later. NOTE: Killing the Black Knifes in the puzzle gives you Ghost Glovewort 9 per Black Knife,Base Game,ordina-puzzle-ordina-lithurgical-town,base-game,' ',1.0
Mohgwyn Palace,Checkpoint,' ',,,Mohgwyn Palace,"Access by using the Pureblood Knight's Medal if you progressed Varre's questline, or use the waygate Northwest of the Yelough Anex Tunnel, covered in blood in the Consecrated Snowfield area. Can find Ghost Glovewort 8, 9, Somber Smithing Stone 9, Smithing Stone 6-8",Base Game,mohgwyn-palace-mohgwyn-palace,base-game,' ',1.0
Map: Mohgwyn Palace,Map,' ',,,Mohgwyn Palace,"Found right next to where you teleport if you use the Pureblood Knight's Medal. Pick this up, then use the waygate in the Consecrated Snowfield",Base Game,map-mohgwyn-palace-mohgwyn-palace,base-game,' ',1.0
